     anio              lenguaje  toxicity  severe_toxicity   obscene  identity_attack    insult    threat
230  2011               Russian  0.000625         0.000124  0.000175         0.000146  0.000175  0.000139
231  2011               Spanish  0.000626         0.000125  0.000176         0.000151  0.000177  0.000135
232  2011               Tagalog  0.000667         0.000119  0.000181         0.000143  0.000174  0.000127
233  2012                Danish  0.000628         0.000122  0.000177         0.000144  0.000177  0.000132
234  2012                 Dutch  0.000656         0.000121  0.000175         0.000145  0.000177  0.000133
235  2012               English  0.000647         0.000125  0.000180         0.000147  0.000185  0.000136
236  2012               Finnish  0.000626         0.000123  0.000176         0.000145  0.000176  0.000134
237  2012                French  0.000593         0.000126  0.000175         0.000147  0.000177  0.000137
238  2012      Gaelic, Scottish  0.000646         0.000121  0.000172         0.000145  0.000177  0.000136
239  2012                German  0.000677         0.000120  0.000176         0.000145  0.000177  0.000132
240  2012                 Greek  0.000573         0.000129  0.000181         0.000145  0.000177  0.000139
241  2012             Hungarian  0.000666         0.000121  0.000179         0.000145  0.000176  0.000132
242  2012               Italian  0.000630         0.000122  0.000175         0.000145  0.000176  0.000132
243  2012              Japanese  0.000625         0.000122  0.000176         0.000143  0.000175  0.000133
244  2012                 Latin  0.000620         0.000123  0.000175         0.000144  0.000176  0.000133
245  2012                Ojibwa  0.000591         0.000125  0.000174         0.000146  0.000177  0.000134
246  2012                Polish  0.000627         0.000121  0.000175         0.000143  0.000175  0.000129
247  2012            Portuguese  0.000626         0.000124  0.000176         0.000146  0.000176  0.000136
248  2012               Spanish  0.000609         0.000124  0.000175         0.000146  0.000175  0.000134
249  2012               Swedish  0.000644         0.000121  0.000175         0.000143  0.000177  0.000133
250  2012                Telugu  0.000595         0.000125  0.000175         0.000145  0.000174  0.000135
251  2013             Afrikaans  0.000600         0.000124  0.000176         0.000143  0.000177  0.000133
252  2013                Arabic  0.000584         0.000125  0.000174         0.000144  0.000173  0.000133
253  2013               Chinese  0.000608         0.000124  0.000178         0.000144  0.000176  0.000134
254  2013                Danish  0.000629         0.000122  0.000176         0.000144  0.000177  0.000132
255  2013                 Dutch  0.000672         0.000120  0.000175         0.000145  0.000177  0.000132
256  2013               English  0.000767         0.000126  0.000181         0.000153  0.000246  0.000136
257  2013             Esperanto  0.000597         0.000124  0.000177         0.000145  0.000175  0.000131
258  2013              Estonian  0.000632         0.000121  0.000175         0.000143  0.000176  0.000132
259  2013               Finnish  0.000629         0.000123  0.000177         0.000145  0.000176  0.000134
260  2013                French  0.000595         0.000126  0.000175         0.000147  0.000177  0.000137
261  2013                German  0.000667         0.000120  0.000175         0.000145  0.000177  0.000132
262  2013                 Greek  0.000587         0.000129  0.000180         0.000146  0.000177  0.000141
263  2013                Hebrew  0.000586         0.000130  0.000181         0.000148  0.000178  0.000141
264  2013             Hungarian  0.000644         0.000121  0.000176         0.000146  0.000175  0.000132
265  2013               Italian  0.000607         0.000124  0.000176         0.000145  0.000176  0.000133
266  2013                 Latin  0.000610         0.000126  0.000174         0.000147  0.000177  0.000142
267  2013             Norwegian  0.000651         0.000120  0.000179         0.000141  0.000174  0.000128
268  2013            Portuguese  0.000636         0.000121  0.000174         0.000144  0.000175  0.000133
269  2013               Spanish  0.000600         0.000125  0.000175         0.000146  0.000176  0.000136
270  2013               Tagalog  0.000603         0.000124  0.000178         0.000146  0.000176  0.000133
271  2013                Telugu  0.000610         0.000124  0.000174         0.000144  0.000175  0.000134
272  2014                 Czech  0.000633         0.000120  0.000173         0.000143  0.000174  0.000130
273  2014                Danish  0.000796         0.000119  0.000195         0.000146  0.000181  0.000130
274  2014                 Dutch  0.000649         0.000121  0.000175         0.000145  0.000177  0.000133
275  2014               English  0.000622         0.000126  0.000178         0.000147  0.000178  0.000136
276  2014             Esperanto  0.000601         0.000124  0.000176         0.000146  0.000175  0.000133
277  2014                 Farsi  0.000585         0.000126  0.000174         0.000146  0.000176  0.000134
278  2014               Finnish  0.000633         0.000123  0.000176         0.000145  0.000176  0.000134
279  2014                French  0.000590         0.000127  0.000175         0.000147  0.000177  0.000137
280  2014               Frisian  0.000614         0.000124  0.000174         0.000146  0.000178  0.000137
281  2014                German  0.000659         0.000120  0.000175         0.000145  0.000176  0.000132
282  2014                Hebrew  0.000579         0.000131  0.000182         0.000147  0.000177  0.000140
283  2014             Hungarian  0.000639         0.000122  0.000176         0.000145  0.000175  0.000132
284  2014               Italian  0.000603         0.000125  0.000175         0.000146  0.000176  0.000135
285  2014                 Latin  0.000631         0.000122  0.000173         0.000145  0.000177  0.000133
286  2014            Portuguese  0.000608         0.000124  0.000174         0.000146  0.000176  0.000134
287  2014               Spanish  0.000601         0.000125  0.000176         0.000146  0.000176  0.000136
288  2014               Swedish  0.000631         0.000122  0.000176         0.000145  0.000176  0.000133
289  2014               Tagalog  0.000708         0.000116  0.000184         0.000143  0.000174  0.000123
290  2015               Cebuano  0.000669         0.000119  0.000176         0.000145  0.000173  0.000131
291  2015                Danish  0.000615         0.000122  0.000179         0.000143  0.000176  0.000132
292  2015                 Dutch  0.000640         0.000121  0.000175         0.000144  0.000177  0.000133
293  2015               English  0.000698         0.000127  0.000290         0.000148  0.000196  0.000136
294  2015             Esperanto  0.000632         0.000123  0.000178         0.000146  0.000175  0.000131
295  2015               Finnish  0.000640         0.000122  0.000176         0.000145  0.000176  0.000134
296  2015                French  0.000594         0.000126  0.000175         0.000147  0.000177  0.000137
297  2015                German  0.000656         0.000121  0.000175         0.000145  0.000177  0.000133
298  2015             Hungarian  0.000639         0.000122  0.000172         0.000146  0.000177  0.000138
299  2015               Italian  0.000610         0.000124  0.000175         0.000145  0.000176  0.000133
300  2015                 Latin  0.000693         0.000118  0.000181         0.000144  0.000177  0.000127
301  2015            Portuguese  0.000608         0.000125  0.000176         0.000146  0.000177  0.000136
302  2015               Spanish  0.000599         0.000125  0.000176         0.000146  0.000176  0.000135
303  2015               Swedish  0.000661         0.000120  0.000177         0.000144  0.000177  0.000131
